"ID","Status","Comment","Assertion"
"td-property-names","null","not testable with Assertion Tester","All name-value pairs of an instance of PropertyAffordance, where the name is a Vocabulary Term included in (one of) the Signatures of PropertyAffordance, InteractionAffordance, or DataSchema, MUST be serialized as members of the JSON object that results from serializing the PropertyAffordance instance, with the Vocabulary Term as name."
"td-property-names_at-type","null","not testable with Assertion Tester","The vocabulary term @type MUST be serialized as a JSON name within a Property object."
"td-property-names_const","null","not testable with Assertion Tester","The vocabulary term const MUST be serialized as a JSON name within a Property object."
"td-property-names_contentEncoding","null","not testable with Assertion Tester","The vocabulary term contentEncoding MUST be serialized as a JSON name within a Property object."
"td-property-names_contentMediaType","null","not testable with Assertion Tester","The vocabulary term contentMediaType MUST be serialized as a JSON name within a Property object."
"td-property-names_description","null","not testable with Assertion Tester","The vocabulary term description MUST be serialized as a JSON name within a Property object."
"td-property-names_descriptions","null","not testable with Assertion Tester","The vocabulary term descriptions MUST be serialized as a JSON name within a Property object."
"td-property-names_enum","null","not testable with Assertion Tester","The vocabulary term enum MUST be serialized as a JSON name within a Property object."
"td-property-names_exclusiveMaximum","null","not testable with Assertion Tester","The vocabulary term exclusiveMaximum MUST be serialized as a JSON name within a Property object."
"td-property-names_exclusiveMinimum","null","not testable with Assertion Tester","The vocabulary term exclusiveMinimum MUST be serialized as a JSON name within a Property object."
"td-property-names_format","null","not testable with Assertion Tester","The vocabulary term format MUST be serialized as a JSON name within a Property object."
"td-property-names_forms","null","not testable with Assertion Tester","The vocabulary term forms MUST be serialized as a JSON name within a Property object."
"td-property-names_items","null","not testable with Assertion Tester","The vocabulary term items MUST be serialized as a JSON name within a Property object."
"td-property-names_maxItems","null","not testable with Assertion Tester","The vocabulary term maxItems MUST be serialized as a JSON name within a Property object."
"td-property-names_maxLength","null","not testable with Assertion Tester","The vocabulary term maxLength MUST be serialized as a JSON name within a Property object."
"td-property-names_maximum","null","not testable with Assertion Tester","The vocabulary term maximum MUST be serialized as a JSON name within a Property object."
"td-property-names_minItems","null","not testable with Assertion Tester","The vocabulary term minItems MUST be serialized as a JSON name within a Property object."
"td-property-names_minLength","null","not testable with Assertion Tester","The vocabulary term minLength MUST be serialized as a JSON name within a Property object."
"td-property-names_minimum","null","not testable with Assertion Tester","The vocabulary term minimum MUST be serialized as a JSON name within a Property object."
"td-property-names_multipleOf","null","not testable with Assertion Tester","The vocabulary term multipleOf MUST be serialized as a JSON name within a Property object."
"td-property-names_observable","null","not testable with Assertion Tester","The vocabulary term observable MUST be serialized as a JSON name within a Property object."
"td-property-names_oneOf","null","not testable with Assertion Tester","The vocabulary term oneOf MUST be serialized as a JSON name within a Property object."
"td-property-names_properties","null","not testable with Assertion Tester","The vocabulary term properties MUST be serialized as a JSON name within a Property object."
